draft_yr,age_first_yr,draft_pick,hght_noshoes,hght_wtshoes,wingspan,standing_reach,vert_max,vert_maxreach,vert_nostep,weight,body_fat,hand_length,hand_width,clg_games_plyd,pts_ppg,rpg,ast,fg2_pct,fg3_pct,ft_pct,guards,forwards,centers,drafted,nba_gms_plyed
2013,21,40,80.75,82.25,86.0,109.0,34.0,143.0,28.5,232,10.1,8.5,9.25,34,5.2,1,1,0.409,0.41,0.82,0,1,0,1,8
2015,21,14,72.75,73.5,79.25,97.5,35.5,133.0,30.0,183,6.3,8.5,8.25,69,18.5,1,1,0.43200000000000005,0.36,0.78,1,0,0,1,111
2014,21,0,79.5,80.75,86.25,106.5,34.0,140.5,29.5,228,6.2,9.25,9.0,108,11.4,1,1,0.447,0.0,0.57,0,1,0,0,111
2014,23,0,81.25,82.75,87.5,109.5,31.5,141.0,28.5,252,13.6,9.25,10.5,101,10.0,1,1,0.488,0.25,0.68,0,0,1,0,5
2013,21,27,84.5,86.0,92.5,115.0,29.0,144.0,25.0,238,4.4,9.75,10.0,0,0.0,1,1,0.0,0.0,0.0,0,0,1,1,323
2013,21,18,70.25,71.5,70.75,89.5,44.0,133.5,34.5,171,3.8,7.5,8.75,68,11.2,1,1,0.43799999999999994,0.38,0.81,1,0,0,1,254
2013,19,29,75.75,77.25,81.5,102.0,36.0,138.0,30.0,189,4.6,8.5,9.0,33,14.1,1,1,0.44,0.27,0.64,1,0,0,1,165
2009,24,36,77.25,78.75,82.75,105.5,33.0,138.5,27.5,223,4.9,8.76437251695283,9.432295608699794,143,13.2,1,1,0.498,0.36,0.69,0,1,0,1,249
2009,22,28,76.25,77.25,78.5,100.0,38.0,138.0,31.5,202,5.5,8.378546017310654,9.11712043029464,115,14.7,1,1,0.46299999999999997,0.4,0.81,1,0,0,1,590
2013,20,0,76.75,77.75,85.0,99.0,40.5,139.5,34.5,232,7.5,9.25,9.5,55,10.7,1,1,0.426,0.33,0.75,0,1,0,0,6
2009,19,17,75.25,76.25,79.0,100.5,34.0,134.5,28.5,199,6.3,8.423937370209734,9.154199863048188,35,8.5,1,1,0.45,0.31,0.73,1,0,0,1,583
2015,23,0,72.25,74.0,76.0,96.5,31.0,127.5,24.5,179,6.7,7.5,8.25,143,11.0,1,1,0.43200000000000005,0.38,0.85,1,0,0,0,46
2012,20,12,76.0,77.25,83.0,102.0,38.0,140.0,31.5,179,4.5,8.75,9.25,75,14.1,1,1,0.48200000000000004,0.35,0.81,1,1,0,1,355
2012,22,46,78.0,79.5,81.0,101.0,37.0,138.0,33.0,233,7.5,8.5,8.75,152,8.2,1,1,0.44799999999999995,0.38,0.82,0,1,0,1,182
2009,21,35,79.25,80.5,84.75,106.5,34.5,141.0,29.5,243,6.6,8.94593792854915,9.580613339713985,101,11.2,1,1,0.439,0.35,0.73,0,1,0,1,83
2011,21,37,80.5,81.75,85.0,107.5,30.5,138.0,27.5,239,15.5,9.25,9.75,89,15.7,1,1,0.469,0.36,0.73,0,1,0,1,24
2015,23,20,76.25,77.5,79.5,101.5,31.0,132.5,29.5,181,6.6,8.0,8.5,68,15.0,1,1,0.535,0.3,0.81,1,0,0,1,121
2009,27,0,79.75,80.25,82.25,105.0,31.0,136.0,26.0,209,10.1,8.718981164053751,9.395216175946247,0,0.0,1,1,0.0,0.0,0.0,0,1,0,0,322
2012,22,49,80.5,82.0,88.75,106.5,31.5,138.0,31.5,241,8.0,9.5,10.0,129,12.5,1,1,0.5529999999999999,0.26,0.69,0,1,0,1,396
2015,19,11,81.75,83.5,88.0,112.0,31.686698139018027,142.6483045556355,27.477764503084654,239,9.3,9.25,9.25,34,10.1,1,1,0.455,0.27,0.84,0,0,1,1,205
2015,22,44,76.5,77.5,81.0,100.0,33.0,133.0,26.5,213,5.9,8.25,9.25,79,10.1,1,1,0.37200000000000005,0.37,0.78,1,0,0,1,128
2010,21,14,80.0,81.25,85.25,107.0,33.5,140.5,28.5,240,5.3,9.25,10.25,97,16.1,1,1,0.585,0.33,0.73,0,1,0,1,557
2010,22,11,81.0,83.25,88.75,111.5,28.0,139.5,23.0,236,8.5,9.0,9.25,111,9.4,1,1,0.574,0.0,0.73,0,0,1,1,338
2013,22,23,77.5,79.0,81.0,103.0,37.5,140.5,29.5,226,7.6,9.0,10.5,139,10.3,1,1,0.48100000000000004,0.38,0.75,0,1,0,1,259
