name,player,college,draft_yr,age_first_yr,draft_pick,hght_noshoes,hght_wtshoes,wingspan,standing_reach,vert_max,vert_maxreach,vert_nostep,weight,body_fat,hand_length,hand_width,clg_games_plyd,pts_ppg,rpg,ast,fg2_pct,fg3_pct,ft_pct,guards,forwards,centers,drafted,nba_gms_plyed,success
Blake Griffin,0,University of Oklahoma,2009,21,1,80.5,82,83.25,105,35.5,140.5,32,248,8.2,,,68,18.8,1,1,0.618,0.3,0.59,0,1,0,1,529,
Terrence Williams,1,University of Louisville,2009,22,11,77,78.25,81,103.5,37,140.5,30.5,213,5.1,,,140,11.2,1,1,0.4,0.32,0.59,0,1,0,1,153,
Gerald Henderson,2,Virginia Commonwealth University,2009,23,12,76,77,82.25,102.5,35,137.5,31.5,215,4.4,,,103,15,1,1,0.481,0,0.63,1,0,0,1,871,
Tyler Hansbrough,3,University of North Carolina,2009,24,13,80.25,81.5,83.5,106,34,140,27.5,234,8.5,,,142,20.2,1,1,0.536,0.32,0.79,0,1,0,1,428,
Earl Clark,4,University of Louisville,2009,21,14,80.5,82.25,86.5,109.5,33,142.5,28.5,228,5.2,,,104,10.6,1,1,0.467,0.3,0.64,0,1,0,1,261,
Austin Daye,5,Gonzaga University,2009,21,15,81.75,82.75,86.75,110,28,138,25,192,5.5,,,67,11.6,1,1,0.477,0.42,0.79,0,1,0,1,293,
James Johnson,6,Wake Forest University,2009,22,16,79,79.75,84.75,105.5,35,140.5,30.5,257,12,,,61,14.8,1,1,0.515,0.3,0.69,0,1,0,1,545,
Jrue Holiday,7,"University of California, Los Angeles",2009,19,17,75.25,76.25,79,100.5,34,134.5,28.5,199,6.3,,,35,8.5,1,1,0.45,0.31,0.73,1,0,0,1,583,
Ty Lawson,8,University of North Carolina,2009,22,18,71.25,72.5,72.75,94.5,36.5,131,29,197,6.6,,,105,13.1,1,1,0.517,0.4,0.78,1,0,0,1,551,
Jeff Teague,9,Wake Forest University,2009,21,19,72.25,73.5,79.5,98.5,36.5,135,30.5,175,4.5,,,61,16.4,1,1,0.462,0.42,0.81,1,0,0,1,668,
Hasheem Thabeet,10,University of Connecticut,2009,22,2,85.25,86.5,90.25,113,,,,267,6.7,,,100,10.3,1,1,0.611,0,0.63,0,0,1,1,224,
Eric Maynor,11,Virginia Commonwealth University,2009,22,20,74.25,75.25,74.5,97,31.5,128.5,28.5,164,5.4,,,130,15,1,1,0.449,0.37,0.79,1,0,0,1,267,
Darren Collison,12,"University of California, Los Angeles",2009,22,21,72.25,73.5,75,96.5,33.5,130,30.5,166,5.7,,,142,11.5,1,1,0.475,0.44,0.85,1,0,0,1,631,
Omri Casspi,13,0,2009,21,23,79.75,81.25,81.25,106.5,32.5,139,25.5,211,8.6,,,0,0,1,1,0,0,0,0,1,0,1,552,
