draft_yr,age_first_yr,draft_pick,hght_noshoes,hght_wtshoes,wingspan,standing_reach,vert_max,vert_maxreach,vert_nostep,weight,body_fat,hand_length,hand_width,clg_games_plyd,pts_ppg,rpg,ast,fg2_pct,fg3_pct,ft_pct,guards,forwards,centers,drafted,nba_gms_plyed,Unnamed: 30
2009,22,11,77.0,78.25,81.0,103.5,37.0,140.5,30.5,213,5.1,8.60663098630467,9.305863884077402,140,11.2,1,1,0.4,0.32,0.59,0,1,0,1,153,129.5813953
2013,22,36,72.25,73.75,75.25,96.5,40.0,136.5,30.5,191,7.3,8.0,8.75,102,15.9,1,1,0.465,0.29,0.72,1,0,0,1,154,
2011,22,13,79.75,81.25,82.75,106.5,31.5,138.0,27.0,241,10.2,8.5,8.25,109,8.5,1,1,0.5529999999999999,0.4,0.65,0,1,0,1,519,
2012,22,35,77.75,79.5,85.25,105.0,33.0,138.0,28.0,236,11.3,9.0,9.5,145,10.5,1,1,0.467,0.36,0.69,0,1,0,1,466,
2011,20,29,74.0,75.25,77.5,99.0,35.0,134.0,27.5,186,9.7,8.5,10.5,36,10.4,1,1,0.42200000000000004,0.41,0.7,1,0,0,1,445,
2011,22,10,72.75,74.5,76.5,96.5,33.0,129.5,28.0,196,7.7,8.0,8.5,139,18.7,1,1,0.455,0.39,0.88,1,0,0,1,235,
2013,21,27,84.5,86.0,92.5,115.0,29.0,144.0,25.0,238,4.4,9.75,10.0,0,0.0,1,1,0.0,0.0,0.0,0,0,1,1,323,
2014,25,0,79.5,81.25,85.0,107.0,35.5,142.5,30.5,209,6.0,9.0,8.5,69,8.9,1,1,0.531,0.0,0.67,0,0,1,0,40,
2009,20,24,83.75,85.25,85.5,111.0,32.5,143.5,28.5,258,8.5,9.014400817382366,9.637304935218904,33,8.8,1,1,0.638,0.0,0.56,0,0,1,1,189,
2009,22,20,74.25,75.25,74.5,97.0,31.5,128.5,28.5,164,5.4,8.017630119192443,8.827115699095232,130,15.0,1,1,0.449,0.37,0.79,1,0,0,1,267,
2015,22,48,83.0,83.75,86.0,112.0,25.0,137.0,22.5,265,14.9,9.25,10.5,78,5.8,1,1,0.537,0.0,0.56,0,0,1,1,29,
2009,20,37,77.25,78.5,86.0,106.5,33.0,139.5,26.0,277,12.0,9.059708576391,9.674131718679071,72,13.6,1,1,0.568,0.0,0.61,0,1,0,1,424,
2015,19,2,75.25,77.0,81.75,102.0,35.569227168070086,137.80539466001187,29.872601383574306,193,8.3,8.75,9.75,35,19.3,1,1,0.449,0.41,0.76,1,0,0,1,189,
2009,22,12,76.0,77.0,82.25,102.5,35.0,137.5,31.5,215,4.4,8.719900383826253,9.397930842727819,103,12.3,1,1,0.45799999999999996,0.32899999999999996,0.706,1,0,0,1,535,
2010,24,30,76.5,77.75,84.75,102.0,36.0,138.0,31.0,226,7.5,9.25,9.5,138,13.5,1,1,0.452,0.36,0.79,0,1,0,1,72,
2013,23,0,79.0,80.0,85.0,106.0,32.0,138.0,29.0,221,8.1,8.0,9.5,112,7.9,1,1,0.449,0.37,0.74,0,1,0,0,4,
2009,22,16,79.0,79.75,84.75,105.5,35.0,140.5,30.5,257,12.0,8.946439178869417,9.582064760028652,61,14.8,1,1,0.515,0.3,0.69,0,1,0,1,545,
2015,20,12,81.0,82.25,85.5,108.0,33.255958106146586,140.71143796353152,28.44574387228083,241,12.1,9.25,10.25,36,8.7,1,1,0.488,0.14,0.74,0,1,0,1,223,
2015,23,0,76.75,77.75,82.5,103.0,31.5,134.5,28.5,219,5.5,8.5,8.25,140,13.4,1,1,0.43200000000000005,0.35,0.69,1,0,0,0,90,
2013,23,39,82.75,84.5,86.0,110.5,29.0,139.5,26.5,222,8.7,9.0,9.75,117,8.0,1,1,0.568,1.0,0.73,0,0,1,1,206,
2013,26,0,74.75,76.0,82.25,98.0,39.5,137.5,33.5,201,5.3,8.5,9.5,138,12.0,1,1,0.384,0.33,0.72,1,0,0,0,62,
2015,22,0,79.25,80.25,85.75,106.5,28.5,135.0,25.5,261,12.0,8.5,9.5,112,15.5,1,1,0.49200000000000005,0.0,0.71,0,1,0,0,62,
2009,23,52,72.5,74.0,75.75,97.0,31.0,128.0,26.0,193,12.4,8.130899516714027,8.919182657745651,99,13.0,1,1,0.413,0.37,0.72,1,0,0,1,261,
2009,20,3,76.0,77.25,82.75,103.5,37.0,140.5,31.5,222,10.1,8.765208142834886,9.434757626187986,69,19.0,1,1,0.506,0.38,0.76,1,0,0,1,686,
2014,19,13,76.5,77.75,80.25,100.0,41.5,141.5,33.5,181,4.7,8.25,8.75,37,9.4,1,1,0.441,0.38,0.69,1,0,0,1,230,
2015,20,29,80.25,81.0,87.25,109.0,32.87041326249267,142.06759150517402,28.20793428706525,199,6.2,8.75,8.75,16,9.3,1,1,0.478,1.0,0.56,0,1,0,1,59,
2013,22,20,78.0,79.25,83.5,105.5,36.5,142.0,30.0,198,4.9,9.0,9.5,104,9.2,1,1,0.42100000000000004,0.38,0.82,1,1,0,1,366,
2015,19,10,76.5,78.5,82.25,104.5,34.60536505893529,138.19286710048115,29.278077420535357,222,5.3,8.5,9.25,39,12.6,1,1,0.486,0.42,0.64,0,1,0,1,162,
2015,24,36,80.25,81.75,89.25,110.5,32.29209599701179,143.61748126705118,29.0,243,9.6,9.25,9.828803262911489,142,7.4,1,1,0.56,0.0,0.68,0,1,0,1,30,
2015,22,37,80.25,81.5,85.5,108.0,36.0,144.0,32.5,243,8.8,8.5,8.5,95,11.5,1,1,0.5539999999999999,0.35,0.7,0,1,0,1,154,
2012,21,24,75.5,77.0,78.5,98.0,37.11140654268575,135.2868237969615,30.823839724436624,188,3.6,8.25,9.0,98,13.0,1,1,0.455,0.34,0.75,1,0,0,1,84,
2012,20,21,79.75,81.0,85.25,105.5,31.0,136.5,29.5,268,10.7,9.25,9.75,74,17.3,1,1,0.53,0.37,0.73,0,1,0,1,269,
2013,25,42,69.5,70.5,70.0,90.0,40.19576529191708,128.6997923089836,32.72631640616126,176,4.5,7.5,8.25,74,16.7,1,1,0.441,0.38,0.81,1,0,0,1,8,
2015,23,19,75.25,76.25,79.5,100.0,36.340316855377914,136.06176867790006,30.348220554005465,198,5.6,8.25,8.5,119,14.6,1,1,0.436,0.35,0.79,1,0,0,1,211,
2014,23,15,81.0,81.75,88.0,109.0,32.87041326249267,142.64880016587796,28.20793428706525,239,7.6,9.25,9.5,138,8.9,1,1,0.526,0.41,0.76,0,1,0,1,107,
2009,23,24,78.25,79.5,84.75,106.0,37.0,143.0,30.0,224,8.2,9.25,8.5,142,13.5,1,1,0.479,0.36,0.64,1,0,0,1,39,
2013,23,0,73.0,75.0,76.0,97.5,37.30417896451271,133.34946159461506,30.942744517044414,179,9.6,8.0,8.25,141,14.9,1,1,0.431,0.39,0.83,1,0,0,0,118,
2014,23,24,71.0,73.0,75.25,93.0,37.5,130.5,30.5,175,7.4,8.25,8.5,143,13.7,1,1,0.41100000000000003,0.38,0.81,1,0,0,1,231,
2010,20,7,81.75,83.0,86.25,108.5,29.0,137.5,25.0,247,11.2,8.75,9.5,65,14.5,1,1,0.5429999999999999,0.27,0.68,0,0,1,1,587,
2009,23,28,76.75,78.0,79.25,101.0,28.0,129.0,24.5,197,6.9,7.75,9.25,136,16.0,1,1,0.425,0.33,0.83,1,0,0,1,401,
